date,ticker,forecast_origin,horizon_sessions,selected_model,forecast_close,sim_lower_80,sim_upper_80,sim_lower_95,sim_upper_95,random_walk_close
2026-09-23,SNDK,2026-09-22,1,CatBoost,1922.803908432621,1752.7793739673384,2115.590223556023,1666.861046330268,2224.3997442461523,1887.0400390625
2026-09-24,SNDK,2026-09-22,2,CatBoost,1934.7415574952831,1672.479357254764,2224.1159014846717,1511.8382410250429,2289.829576816049,1887.0400390625
2026-09-25,SNDK,2026-09-22,3,CatBoost,1962.1310792331253,1650.6285459434416,2269.560213261949,1470.364628301192,2458.0001810616386,1887.0400390625
2026-09-28,SNDK,2026-09-22,4,CatBoost,1992.3311205955779,1675.4943302596855,2343.5538970678817,1422.0413917714934,2587.352306764774,1887.0400390625
2026-09-29,SNDK,2026-09-22,5,CatBoost,2005.8089966912726,1630.9921707593894,2394.4363138193826,1441.347561074894,2563.9412413752048,1887.0400390625
2026-09-30,SNDK,2026-09-22,6,CatBoost,2029.8045607599786,1619.0782675778064,2518.8673156771874,1413.8344889503062,2759.0830670353707,1887.0400390625
2026-10-01,SNDK,2026-09-22,7,CatBoost,2052.430689119527,1608.7771514468945,2587.2701380305302,1383.258029987455,2847.188126974541,1887.0400390625
2026-10-02,SNDK,2026-09-22,8,CatBoost,2070.1695307002856,1588.4605792035222,2649.338648134071,1367.4169932577781,2934.173979875303,1887.0400390625
2026-10-05,SNDK,2026-09-22,9,CatBoost,2091.38615547835,1571.6517382366146,2723.5124293406525,1327.4794100164677,3066.646394633952,1887.0400390625
2026-10-06,SNDK,2026-09-22,10,CatBoost,2114.649580445294,1567.7954454189444,2780.611344120869,1318.3260901960978,3161.424218455234,1887.0400390625
2026-10-07,SNDK,2026-09-22,11,CatBoost,2134.3828521479327,1559.7860203664607,2860.7978227897725,1297.751390908155,3261.301287047274,1887.0400390625
2026-10-08,SNDK,2026-09-22,12,CatBoost,2154.218593309607,1555.8079468426427,2910.8164934086367,1289.883647764313,3340.0648182102245,1887.0400390625
2026-10-09,SNDK,2026-09-22,13,CatBoost,2174.452271481673,1544.812991823127,2980.031740158627,1280.099310299587,3436.350913539116,1887.0400390625
2026-10-12,SNDK,2026-09-22,14,CatBoost,2195.8399893993287,1537.861230952235,3065.492042465661,1264.8050536066173,3531.362452188668,1887.0400390625
2026-10-13,SNDK,2026-09-22,15,CatBoost,2218.9532300064266,1551.3136829240614,3128.0285397645034,1247.2846352314432,3646.950566357667,1887.0400390625
2026-10-14,SNDK,2026-09-22,16,CatBoost,2242.9353735587033,1538.1297690510223,3198.4271480022608,1248.3738157819823,3785.958983488325,1887.0400390625
2026-10-15,SNDK,2026-09-22,17,CatBoost,2267.1767128441684,1525.785316380405,3273.711772885828,1255.1325842933904,3867.8800338016495,1887.0400390625
2026-10-16,SNDK,2026-09-22,18,CatBoost,2291.031879460153,1540.805635671091,3334.7539337095322,1237.172534305143,3989.963354231838,1887.0400390625
2026-10-19,SNDK,2026-09-22,19,CatBoost,2314.7748971353385,1542.0282870552967,3395.5706668405446,1219.6620247427738,4074.0254314538865,1887.0400390625
2026-10-20,SNDK,2026-09-22,20,CatBoost,2335.6265907403754,1545.607979428284,3450.959732976339,1219.546650476661,4188.404386854267,1887.0400390625
2026-10-21,SNDK,2026-09-22,21,CatBoost,2356.7720343356405,1542.764543943778,3512.2681688664475,1223.6573765206333,4277.375357589661,1887.0400390625
2026-10-22,SNDK,2026-09-22,22,CatBoost,2377.763658463201,1520.9531993525504,3593.0031709233835,1215.2138099863143,4351.062551357923,1887.0400390625
2026-10-23,SNDK,2026-09-22,23,CatBoost,2397.8939312353937,1513.2685718628252,3651.482187564055,1197.4016370771499,4460.422638838385,1887.0400390625
2026-10-26,SNDK,2026-09-22,24,CatBoost,2418.194627960547,1514.9634994503408,3708.4392997213754,1200.193282346323,4586.804032293204,1887.0400390625
2026-10-27,SNDK,2026-09-22,25,CatBoost,2438.6369524003503,1516.2922378024389,3767.2319804407143,1190.2522786927038,4656.7141393379825,1887.0400390625
2026-10-28,SNDK,2026-09-22,26,CatBoost,2459.252087011705,1521.0204124866218,3833.7917222795013,1181.3860212865604,4790.591090077334,1887.0400390625
2026-10-29,SNDK,2026-09-22,27,CatBoost,2480.041492653697,1515.2175552809654,3916.647177728183,1179.2576840451245,4856.2475059393855,1887.0400390625
2026-10-30,SNDK,2026-09-22,28,CatBoost,2500.619144753385,1529.7512775256546,3959.701552216643,1161.6422099147467,4917.8483432855,1887.0400390625
2026-11-02,SNDK,2026-09-22,29,CatBoost,2521.367535837558,1511.259844265364,4005.090340276053,1168.465758019003,5084.131214327027,1887.0400390625
2026-11-03,SNDK,2026-09-22,30,CatBoost,2541.9517704600544,1516.2171552364634,4083.7988428026133,1152.4237560542174,5157.225438227261,1887.0400390625
2026-11-04,SNDK,2026-09-22,31,CatBoost,2562.7040530600757,1524.277135611405,4158.499945244917,1141.1989710555986,5322.857083435712,1887.0400390625
2026-11-05,SNDK,2026-09-22,32,CatBoost,2583.625755567318,1516.1491758717489,4257.390140237112,1127.7792093173027,5478.830162673989,1887.0400390625
2026-11-06,SNDK,2026-09-22,33,CatBoost,2604.718261111797,1501.1786814195061,4329.014331254615,1125.9674924906433,5545.429245196132,1887.0400390625
2026-11-09,SNDK,2026-09-22,34,CatBoost,2625.982964115287,1517.380500688432,4442.667342924282,1128.741652910265,5729.912672541144,1887.0400390625
2026-11-10,SNDK,2026-09-22,35,CatBoost,2647.421270383505,1523.7046114118848,4507.972838644893,1130.0977989025482,5866.652203161169,1887.0400390625
2026-11-11,SNDK,2026-09-22,36,CatBoost,2669.03459719905,1519.8129352480596,4590.084345028473,1129.9383183766604,5938.086432920051,1887.0400390625
2026-11-12,SNDK,2026-09-22,37,CatBoost,2690.824373415097,1505.1896499698926,4686.628346284555,1130.237093712312,5992.505485071542,1887.0400390625
2026-11-13,SNDK,2026-09-22,38,CatBoost,2712.7920395498595,1508.4299055718202,4762.998236032158,1127.5182446860451,6120.326179047726,1887.0400390625
2026-11-16,SNDK,2026-09-22,39,CatBoost,2734.9390478818227,1503.9216092807583,4815.889396520985,1114.5517450715677,6285.184361822035,1887.0400390625
2026-11-17,SNDK,2026-09-22,40,CatBoost,2757.266862545751,1511.6159928668194,4903.197430241521,1115.474139253328,6366.032087974837,1887.0400390625
2026-11-18,SNDK,2026-09-22,41,CatBoost,2779.7769596294847,1516.8806216794046,4955.5952350210055,1095.5047189024833,6413.863914079521,1887.0400390625
2026-11-19,SNDK,2026-09-22,42,CatBoost,2802.47082727152,1519.8339405986899,5053.579339831414,1094.206933969217,6585.909929424646,1887.0400390625
2026-11-20,SNDK,2026-09-22,43,CatBoost,2825.3499657593948,1506.1117962700864,5103.199633144863,1095.7366023174907,6650.069824275743,1887.0400390625
